Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W High,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,52W Low,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,Volatility W,Volatility M,Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker
Clarivate Plc,Technology,Information Technology Services,United Kingdom,NYSE,-,-,-0.98,43.29%,683.10M,-2.10%,2.87B,6.06,0.69,0.12%,387.41M,-4.55%,7.11B,-,0.17,63.93%,9.28%,-1.87%,-678.10M,1.13,-11.01%,-3.54%,6.26,-23.36%,2.53B,0.57,6.72%,-5.55%,35.96M,-17.32%,7.36,8.10,2.63%,-12.20%,3.04,7.15,-21.05%,0.52,8.05,-16.20% -0.40%,-7.06%,-41.26%,-68.21%,-,7.43,10.85% 21.28%,37.08%,38.16%,-81.08%,-,2.81,41.08%,8.84%,1.17%,1.56%,-,-,0.88,-3.50%,-26.81%,47.62,2.18,- -,0.88,-7.11%,-1.49%,1.48,5.28,-,0.91,-4.43%,3.43%,1.34,4.24,12000,0.91,Apr 29 BMO,-16.98%,5.75M,4.20,"Oct 29, 2018",Yes / Yes,21.00% 4.09%,"

","7,723,686",-0.94%,CLVT
Cleanspark Inc,Financial,Capital Markets,USA,NASD,RUT,-,-0.93,2.87%,280.90M,-7.31%,2.53B,11.99,0.75,-1.59%,272.89M,-7.22%,2.24B,-,0.14,60.77%,26.46%,16.13%,-195.56M,4.71,186.55%,16.10%,2.69,-27.88%,537.40M,1.34,25.71%,-9.08%,72.21M,-2.28%,6.73,2.70,-,-11.36%,6.45,20.64,-49.18%,3.34,-,2.70% 35.68%,-7.72%,-56.40%,101.79%,-,15.52,112.87% 142.35%,-6.78%,39.49%,328.57%,-,4.17,-737.43%,-17.39%,5.25%,4.66%,-,-,8.67,89.47%,-36.39%,46.89,1.27,- -,8.67,-184.61%,-4.10%,4.24,20.30,-,0.34,62.53%,1.00%,1.35,9.18,270,0.34,May 08 AMC,-10.62%,26.85M,9.00,"Jul 18, 2012",Yes / Yes,-344.24% -3.56%,"

","36,168,130",-1.96%,CLSK
"Celestica, Inc",Technology,Electronic Components,Canada,NYSE,-,37.78,3.58,0.52%,115.60M,3.44%,15.55B,22.04,6.14,-64.97%,114.39M,20.03%,16.32B,1.58,1.23,76.51%,3.13%,41.38%,422.40M,1.54,30.66%,-3.17%,0.84,36.58%,10.09B,10.04,21.03%,7.32%,3.58M,46.51%,13.47,51.32,23.86%,25.87%,40.25,144.27,137.16%,2.64,48.18,64.11% 46.52%,16.37%,-6.27%,1199.04%,-,20.93,19.63% 10.38%,10.34%,235.98%,1977.27%,-,1.62,38.08%,6.21%,1.80%,2.27%,990.56%,-,0.85,21.05%,4.19%,71.73,1.25,- -,1.43,-4.17%,9.76%,1.75,131.31,-,0.69,19.91%,28.39%,0.59,136.25,26865,0.66,Apr 24 AMC,50.09%,4.28M,135.23,"Jun 30, 1998",Yes / Yes,7.62% 3.56%,"

","2,532,236",-0.75%,CLS
Clover Health Investments Corp,Healthcare,Healthcare Plans,USA,NASD,-,-,-0.05,24.92%,388.51M,3.07%,1.54B,-,-0.02,-0.27%,382.25M,-18.16%,-,-,-0.01,20.90%,5.35%,-17.49%,-25.11M,1.03,36.85%,16.17%,3.56,-3.21%,1.49B,4.32,67.05%,-3.88%,20.44M,-4.13%,0.70,-,-,-7.75%,1.01,4.87,162.61%,-,-,60.49% -237.67%,-7.47%,-37.99%,43.81%,-,-,-3.77% -,-,199.01%,-70.76%,-,-,84.64%,-1.64%,3.27%,2.43%,-,-,-,-19.54%,-1.69%,43.83,2.00,- -,1.54,93.40%,-0.98%,1.93,4.69,-,0.00,33.45%,-9.24%,1.91,2.97,570,0.00,May 06 AMC,-15.30%,5.74M,3.02,"Jun 12, 2020",Yes / Yes,230.81% -0.99%,"

","10,992,787",1.68%,CLOV
Calumet Inc,Basic Materials,Specialty Chemicals,USA,NASD,-,-,-4.00,20.21%,86.62M,15.53%,1.42B,768.54,0.02,-1.81%,69.12M,18.80%,4.02B,-,-0.28,45.85%,12.36%,22.35%,-341.60M,0.34,8.00%,8.70%,7.39,-18.88%,4.18B,-,100.87%,-12.30%,8.54M,-25.66%,-9.95,6.97,-,-,7.68,25.29,0.68%,2.35,-,6.12% -37.36%,-21.15%,-35.27%,26.31%,-,77.63,9.99% 3.94%,1.94%,113.15%,488.85%,-,0.96,-6298.08%,-3.04%,6.03%,3.58%,-33.56%,"Jan 29, 2016",0.61,0.67%,-8.18%,71.44,1.86,- -,1.06,-269.12%,13.16%,0.92,19.00,-,-,-1.18%,30.36%,1.27,16.43,1620,-,May 09 BMO,-1.65%,1.16M,16.37,"Jan 26, 2006",Yes / Yes,-264.17% 11.49%,"

","1,468,621",-0.37%,CLMT
"Clean Harbors, Inc",Industrials,Waste Management,USA,NYSE,-,31.31,7.22,5.44%,53.64M,-0.65%,12.11B,24.88,9.09,-5.52%,50.67M,-3.20%,14.55B,2.01,2.38,95.72%,1.45%,14.21%,391.15M,2.04,2.41%,-1.34%,1.85,-8.67%,5.95B,4.71,19.45%,5.51%,0.73M,-1.79%,47.94,20.34,15.54%,16.02%,178.29,267.11,-0.04%,11.11,34.82,25.99% 33.64%,7.09%,-15.38%,158.60%,-,13.37,15.67% 11.54%,23.50%,26.77%,277.27%,-,2.45,4.51%,11.04%,0.34%,0.61%,308.72%,-,1.98,8.52%,6.58%,53.37,1.71,- -,2.37,-15.63%,-0.08%,1.17,256.18,0.00%,1.18,4.01%,2.49%,1.12,226.34,25232,1.15,Apr 30 BMO,-1.82%,398.02K,226.02,"Nov 24, 1987",Yes / Yes,2.29% -0.59%,"

","446,560",-0.14%,CLH
Cleveland-Cliffs Inc,Basic Materials,Steel,USA,NYSE,-,-,-2.43,1.86%,494.49M,-2.79%,3.45B,-,-0.06,-1.04%,485.48M,-5.93%,11.23B,-,-0.73,74.09%,17.83%,-26.76%,-1182.00M,0.19,-189.85%,1.15%,2.93,-29.85%,18.61B,0.55,97.00%,-6.21%,86.58M,-25.74%,12.65,60.57,-,-17.57%,5.63,16.47,-52.96%,0.12,-,- -,-8.53%,-57.62%,-60.43%,-,5613.35,-2.10% 57.45%,-2.35%,23.98%,13.87%,-,0.60,-423.14%,-5.38%,4.81%,6.55%,28.13%,"Apr 02, 2020",0.64,-15.00%,-6.35%,45.58,3.00,- -,2.13,-634.21%,-1.20%,1.85,8.07,-,1.22,-10.96%,-6.18%,1.48,7.33,30000,1.22,May 07 AMC,-31.42%,29.59M,6.98,"Jul 27, 1960",Yes / Yes,-11.47% 0.07%,"

","43,822,927",-4.77%,CLF
Celldex Therapeutics Inc,Healthcare,Biotechnology,USA,NASD,RUT,-,-2.70,2.84%,66.38M,0.74%,1.36B,-,-4.02,0.00%,64.51M,0.05%,697.22M,-,-0.86,109.39%,12.98%,3.12%,-178.85M,180.04,-40.83%,-5.04%,8.96,-21.76%,7.56M,1.94,-16.43%,-22.24%,8.37M,-18.88%,10.59,2.04,-16.47%,-23.20%,14.40,47.00,-41.28%,10.05,-,-14.23% 6.91%,-25.37%,-56.38%,-4.78%,-,-,14.71% 14.46%,56.75%,42.36%,91.41%,-,92.22,5.14%,-2873.52%,3.39%,3.55%,-94.61%,-,21.67,24.49%,-2366.07%,52.10,1.27,- -,21.67,-45.42%,1.35%,1.14,58.54,-,0.00,345.51%,4.22%,1.66,20.82,186,0.00,May 08 AMC,-17.53%,933.79K,20.50,"May 15, 1986",Yes / Yes,-7.28% -30.33%,"

","1,547,084",-1.54%,CLDX
Cellebrite DI Ltd,Technology,Software - Infrastructure,Israel,NASD,-,-,-0.96,54.50%,239.47M,-4.74%,3.70B,40.00,0.39,0.00%,108.96M,-9.27%,3.31B,-,0.08,37.05%,0.98%,-18.75%,-194.24M,8.84,125.17%,0.86%,0.86,-23.76%,419.17M,10.19,13.81%,-31.35%,1.07M,-29.78%,1.52,9.05,-,-115.35%,11.47,26.30,26.39%,1.71,27.73,- -,-52.51%,-41.18%,246.86%,-,46.76,17.67% 19.78%,84.06%,34.87%,-,-,7.89,-65.97%,14.35%,1.47%,1.49%,-,-,1.77,22.04%,-46.34%,29.65,1.00,- -,1.80,119.25%,-5.84%,1.32,24.57,-,0.03,20.06%,-13.79%,1.14,15.60,1167,0.02,May 14 BMO,-19.49%,1.24M,15.47,"Nov 06, 2020",Yes / Yes,33.33% -1.62%,"

","1,416,086",-0.83%,CLBT
"Columbia Financial, Inc",Financial,Banks - Regional,USA,NASD,RUT,-,-0.02,74.56%,104.93M,-2.93%,1.46B,24.60,0.56,0.00%,26.69M,-7.52%,-,-,0.10,12.94%,6.53%,-8.25%,-1.60M,3.20,495.45%,1.38%,11.27,-18.48%,455.32M,1.33,29.89%,-0.02%,1.74M,-12.08%,10.49,-,-,-0.15%,12.64,19.28,-1.70%,-,163.32,- -,-0.07%,-27.90%,-33.37%,-,-,13.19% 9.04%,-,9.97%,1.16%,-,-,-109.93%,0.55%,0.74%,1.47%,-,-,-,4.29%,-0.35%,42.23,2.00,- -,0.04,866.67%,-1.88%,0.20,17.00,-,1.02,3.97%,-2.55%,1.98,13.83,755,1.02,Apr 30 AMC,-12.38%,154.58K,13.90,"Apr 20, 2018",Yes / Yes,1.78% -,"

","306,015",0.51%,CLBK
Colgate-Palmolive Co,Consumer Defensive,Household & Personal Products,USA,NYSE,S&P 500,24.85,3.53,0.16%,810.42M,-5.75%,71.14B,22.33,3.93,-0.78%,809.14M,-4.58%,78.47B,4.44,0.90,85.45%,1.42%,-2.77%,2.90B,3.57,1.64%,0.44%,2.12,-5.53%,19.95B,195.97,7.42%,17.44%,11.51M,-3.44%,0.45,54.26,5.60%,977.07%,85.32,109.30,-8.51%,1.62,20.52,11.19% 5.01%,41.78%,-19.69%,18.19%,2.08 (2.37%),15.53,4.89% 5.08%,60.73%,2.88%,20.43%,2.02 (2.30%),3.93,12.12%,22.30%,0.66%,1.13%,32.42%,"Jul 18, 2025",0.54,0.98%,14.52%,36.58,2.18,3.42% 2.98%,0.85,2.37%,-3.49%,0.38,99.47,56.42%,22.78,-3.04%,-4.07%,1.76,88.19,34000,18.10,Apr 25 BMO,-6.18%,5.42M,87.78,"Mar 31, 1930",Yes / Yes,6.32% 0.92%,"

","9,572,156",-0.46%,CL
Civitas Resources Inc,Energy,Oil & Gas E&P,USA,NYSE,-,3.72,8.72,5.59%,92.58M,3.45%,3.00B,5.36,6.05,1.56%,87.41M,13.56%,8.08B,-,1.17,102.64%,10.75%,-9.37%,848.90M,0.59,-27.88%,4.77%,4.02,-28.93%,5.07B,0.45,-1.17%,5.58%,9.39M,-29.34%,72.42,150.03,-7.14%,12.73%,22.79,72.63,-49.69%,0.22,3.41,21.29% 21.13%,7.19%,-55.37%,-46.71%,2.01 (6.22%),2.36,77.53% 75.45%,31.98%,42.21%,102.39%,2.00 (6.17%),1.59,5.69%,27.26%,1.97%,2.76%,-98.26%,"Jun 12, 2025",0.52,22.14%,16.74%,60.88,2.06,19.91% -,0.52,14.45%,9.01%,1.11,44.47,23.65%,0.76,-10.17%,11.74%,2.06,31.99,655,0.76,May 07 AMC,-24.04%,2.34M,32.41,"Dec 15, 2011",Yes / Yes,5.98% -0.67%,"

","4,819,603",1.31%,CIVI
Cincinnati Financial Corp,Financial,Insurance - Property & Casualty,USA,NASD,S&P 500,15.87,9.17,1.90%,156.30M,-1.90%,22.73B,17.70,8.22,0.03%,153.33M,-3.15%,-,8.77,1.38,70.09%,1.26%,-0.53%,1.45B,2.07,-27.48%,2.27%,2.87,-4.50%,10.97B,1.66,49.48%,4.17%,1.94M,1.21%,87.77,-,1.81%,10.97%,113.70,161.74,27.79%,-,8.78,-7.08% 3.73%,9.93%,-10.08%,24.93%,3.48 (2.39%),-,5.59% 7.43%,-,27.92%,134.81%,3.30 (2.27%),-,-38.76%,16.68%,0.59%,1.02%,188.03%,"Jun 23, 2025",-,2.44%,13.19%,45.50,2.18,8.74% 7.66%,0.58,-112.03%,-1.85%,0.79,152.83,22.31%,0.06,-12.57%,1.35%,1.72,145.70,5624,0.06,Apr 28 AMC,2.02%,674.99K,145.44,"Mar 17, 1980",Yes / Yes,61.32% -2.49%,"

","1,159,656",-0.18%,CINF
Chimera Investment Corp,Real Estate,REIT - Mortgage,USA,NYSE,RUT,9.20,1.49,3.09%,80.97M,-4.12%,1.11B,7.21,1.90,0.50%,78.47M,-0.87%,12.19B,0.82,0.46,57.19%,1.98%,0.73%,125.25M,1.42,25.27%,1.80%,2.49,-9.19%,780.59M,0.65,2.68%,1.66%,1.55M,-1.93%,21.16,4.39,11.21%,8.09%,9.85,16.89,2.92%,3.13,5.64,-46.76% -27.34%,1.29%,-18.71%,-45.00%,1.51 (11.00%),16.86,-7.80% -4.84%,94.42%,39.39%,-55.11%,1.46 (10.63%),15.61,0.07%,90.93%,1.16%,1.37%,-65.60%,"Jun 30, 2025",0.10,2.82%,16.05%,55.89,2.33,-28.41% -25.04%,0.10,30.38%,1.49%,1.81,15.75,129.15%,3.93,5.37%,7.68%,1.44,13.68,77,2.66,May 08 BMO,-2.94%,624.81K,13.73,"Nov 16, 2007",Yes / Yes,-8.01% -8.89%,"

","899,428",0.37%,CIM
Colliers International Group Inc,Real Estate,Real Estate Services,Canada,NASD,-,45.25,2.85,14.07%,52.35M,-0.73%,6.52B,17.31,7.44,0.00%,43.50M,2.62%,9.67B,3.45,1.51,75.08%,1.09%,4.11%,144.81M,1.31,12.36%,1.32%,3.70,-11.38%,4.96B,5.16,15.22%,2.54%,0.47M,-5.22%,25.00,27.04,13.10%,11.57%,100.86,156.96,16.82%,4.77,22.01,- 4.60%,4.29%,-17.89%,25.74%,0.31 (0.24%),16.20,5.65% 9.62%,35.16%,27.78%,118.28%,0.30 (0.23%),1.95,39.85%,7.30%,0.92%,1.27%,225.36%,"Jun 30, 2025",1.09,13.50%,2.92%,60.12,1.58,15.73% 25.39%,1.17,-132.46%,3.31%,1.39,156.94,9.54%,1.66,13.89%,6.10%,0.94,128.97,22940,1.52,May 06 BMO,-4.53%,127.58K,128.88,"Jan 20, 1995",Yes / Yes,1.43% -0.90%,"

","120,087",-0.07%,CIGI
Cia Energetica DE Minas Gerais - Cemig ADR,Utilities,Utilities - Diversified,Brazil,NYSE,-,4.35,0.44,0.00%,1.90B,1.59%,3.66B,8.54,0.22,-,1.90B,3.23%,5.57B,-,0.05,7.90%,0.06%,-0.73%,1.26B,0.51,-47.96%,-,0.34,7.60%,7.24B,1.13,-1.48%,11.17%,1.23M,10.49%,1.70,4.45,-21.40%,26.38%,1.59,2.07,15.74%,0.43,4.50,23.84% 11.17%,17.71%,-7.42%,54.63%,0.13 (6.58%),3.88,5.81% 2.71%,18.63%,20.75%,150.50%,0.15 (7.56%),0.77,13.02%,16.34%,1.31%,1.49%,36.03%,"May 12, 2025",1.06,-4.14%,17.46%,58.16,2.56,40.95% 47.58%,1.06,-23.71%,2.37%,1.02,2.40,61.22%,0.56,-7.98%,4.58%,2.46,1.95,5028,0.46,May 09 BMO,3.32%,3.61M,1.92,"Nov 18, 1996",Yes / Yes,32.17% 6.10%,"

","8,877,466",-1.54%,CIG
Cipher Mining Inc,Financial,Capital Markets,USA,NASD,RUT,-,-0.37,32.94%,370.86M,-1.30%,1.27B,-,-0.06,0.00%,224.82M,0.26%,1.25B,-,-0.07,41.37%,18.66%,26.33%,-123.51M,8.35,-75.62%,18.62%,2.43,-48.71%,152.09M,1.91,76.08%,-15.53%,41.96M,-18.32%,1.98,16.90,-,-18.49%,1.86,7.99,-24.20%,0.22,-,25.27% -129.25%,-16.45%,-52.57%,152.67%,-,-,- -,-66.46%,103.76%,-,-,8.24,-808.88%,-89.82%,5.32%,5.17%,-,-,1.11,-0.65%,-81.21%,54.27,1.17,- -,1.11,-182.46%,3.50%,2.59,6.75,-,0.08,1.71%,16.81%,1.85,3.81,43,0.02,May 06 BMO,-13.54%,17.24M,3.79,"Dec 07, 2020",Yes / Yes,-46.28% -6.06%,"

","31,857,224",-0.52%,CIFR
CIENA Corp,Technology,Communication Equipment,USA,NYSE,-,103.82,0.72,1.78%,141.69M,0.54%,10.54B,22.46,3.32,-5.39%,138.85M,-8.04%,10.87B,3.08,0.53,96.59%,2.71%,13.56%,104.80M,2.47,24.25%,-3.23%,1.74,-18.22%,4.26B,3.80,46.73%,1.86%,3.76M,-12.12%,19.60,8.40,33.72%,3.71%,44.89,101.44,58.37%,8.87,36.10,-43.51% -18.58%,2.41%,-26.53%,74.95%,-,31.88,3.51% 2.36%,39.03%,66.03%,38.66%,-,2.55,-29.92%,4.85%,1.09%,3.48%,190.68%,-,2.57,2.86%,2.46%,48.23,1.89,- -,3.40,-36.77%,-3.25%,1.12,83.71,0.00%,0.57,19.48%,2.87%,1.30,73.82,8657,0.56,Jun 05 BMO,3.22%,2.15M,74.53,"Feb 07, 1997",Yes / Yes,-18.92% 2.98%,"

","2,791,370",0.96%,CIEN
Grupo Cibest S.A. ADR,Financial,Banks - Regional,Colombia,NYSE,-,12.69,3.40,0.05%,113.03M,1.24%,4.88B,6.59,6.55,0.00%,112.98M,2.37%,-,4.58,1.64,21.75%,0.64%,1.20%,818.16M,0.46,-2.61%,-,1.61,31.41%,10.69B,0.50,4.99%,1.76%,0.73M,37.04%,85.75,-,2.77%,15.99%,30.25,44.93,31.81%,-,1.80,11.97% 9.92%,5.56%,-3.89%,13.99%,4.49 (10.40%),-,21.38% 9.13%,-,42.75%,48.74%,6.55 (15.16%),-,3.43%,20.84%,1.58%,1.73%,2.03%,"Apr 28, 2025",-,-5.45%,7.65%,56.79,2.86,141.73% 22.28%,0.17,-2.28%,1.52%,0.99,41.68,99.15%,0.67,-8.89%,4.39%,1.04,43.21,34114,0.52,May 05 BMO,17.21%,451.61K,43.18,"Jul 26, 1995",Yes / Yes,6.01% -14.36%,"

","471,510",-0.07%,CIB
Cigna Group,Healthcare,Healthcare Plans,USA,NYSE,S&P 500,17.42,18.05,1.59%,269.90M,-0.32%,83.98B,9.50,33.10,-1.02%,263.12M,-3.28%,-,1.63,7.14,91.63%,1.04%,-2.19%,5.03B,0.33,8.59%,-0.73%,1.53,15.04%,254.47B,2.11,11.54%,3.42%,2.73M,13.84%,149.04,-,10.69%,12.37%,262.03,370.83,-5.86%,-,13.97,-8.32% -2.04%,7.55%,-15.23%,27.94%,7.24 (2.30%),-,11.93% 9.71%,-,19.97%,67.98%,5.82 (1.85%),-,48.38%,3.41%,0.68%,0.91%,128.93%,"Jun 03, 2025",-,24.65%,1.98%,47.97,1.54,11.87% 168.67%,0.78,601.24%,0.32%,0.45,379.86,46.19%,0.76,18.19%,-2.35%,1.82,314.40,73500,0.66,May 02 BMO,-1.23%,1.79M,314.35,"May 16, 1979",Yes / Yes,6.12% 8.73%,"

","3,245,023",-0.02%,CI
Chime Financial Inc,Technology,Software - Application,USA,NASD,-,-,-0.43,10.50%,364.42M,-20.43%,10.76B,-,-,0.01%,280.47M,-,-,-,-,18.40%,-,-,-28.30M,5.98,87.90%,133.07%,-,-,1.80B,-,-,-3.90%,-,-20.43%,-28.23,14.26,-,3.00%,31.21,44.94,-,2.07,-,- -,-8.40%,-34.29%,-,-,-,- -,87.80%,-5.38%,-,-,-,-,13.00%,6.55%,-,-,-,3.00,-,-1.60%,-,-,- -,3.80,-18.60%,-13.29%,-,-,0.00%,-,32.30%,-13.29%,0.42,31.65,-,-,-,-13.29%,12.31M,29.53,"Jun 12, 2025",Yes / Yes,- -,"

","5,132,589",-6.70%,CHYM
ChampionX Corp,Energy,Oil & Gas Equipment & Services,USA,NASD,RUT,17.37,1.52,1.34%,191.43M,0.50%,5.04B,13.34,1.97,0.00%,188.87M,4.61%,5.15B,2.47,0.46,93.81%,2.43%,-11.11%,293.14M,1.41,2.03%,2.55%,0.99,-7.16%,3.58B,2.63,6.83%,8.59%,4.58M,-3.24%,10.01,9.57,7.03%,16.16%,21.92,35.94,-13.99%,2.75,14.71,44.88% 19.74%,11.50%,-26.79%,14.54%,0.38 (1.44%),7.13,5.73% 26.29%,33.12%,20.03%,155.69%,0.38 (1.44%),1.44,-17.99%,13.31%,0.64%,1.45%,-,"Jul 03, 2025",1.62,-4.17%,8.20%,59.22,1.25,- -,2.25,-23.93%,4.15%,1.51,37.50,22.98%,0.34,-6.25%,4.85%,1.40,26.33,7100,0.33,Apr 29 AMC,-7.03%,4.61M,26.31,"Apr 27, 2018",Yes / Yes,23.73% -2.76%,"

","6,460,104",-0.08%,CHX
Chewy Inc,Consumer Cyclical,Internet Retail,USA,NYSE,-,46.94,0.89,53.83%,195.35M,1.70%,17.40B,55.52,0.75,-4.21%,191.70M,-5.01%,17.32B,12.65,0.14,40.99%,7.52%,29.67%,388.24M,1.44,-44.16%,9.08%,2.15,24.92%,12.10B,46.31,48.55%,12.40%,14.41M,25.14%,0.90,28.19,3.71%,76.24%,19.75,48.62,83.74%,1.49,38.79,- -,44.33%,-13.80%,54.94%,-,71.41,10.09% 19.60%,28.30%,112.20%,-10.37%,-,1.43,369.79%,1.05%,0.52%,3.14%,-,-,0.42,7.64%,3.21%,46.31,1.97,- -,0.80,-4.31%,-5.50%,1.75,45.67,0.00%,1.43,8.28%,3.94%,1.81,41.55,18000,1.33,Jun 11 BMO,20.72%,6.71M,41.91,"Jun 14, 2019",Yes / Yes,-10.07% 1.20%,"

","12,149,376",0.87%,CHWY
Charter Communications Inc,Communication Services,Telecom Services,USA,NASD,"NDX, S&P 500",10.71,36.06,31.22%,140.36M,-2.65%,106.74B,8.88,43.53,-0.00%,95.01M,-8.77%,204.51B,0.82,9.63,78.59%,12.18%,6.56%,5.19B,1.94,6.93%,2.76%,8.24,1.95%,55.14B,3.34,16.40%,3.47%,11.57M,12.72%,115.75,123.26,13.04%,36.94%,277.10,437.06,35.12%,3.13,23.32,13.20% 36.23%,4.80%,-11.60%,-14.51%,-,9.22,2.15% 3.78%,47.76%,39.43%,-26.55%,-,3.71,16.06%,24.50%,2.52%,1.63%,102.81%,-,0.36,0.93%,9.42%,46.74,2.42,- -,0.36,11.61%,-2.04%,1.08,449.44,0.00%,5.81,0.41%,0.50%,1.41,377.43,94500,5.66,Apr 25 BMO,6.52%,1.40M,386.37,"Dec 02, 2009",Yes / Yes,-0.13% 0.47%,"

","1,981,299",2.37%,CHTR
Chunghwa Telecom ADR,Communication Services,Telecom Services,Taiwan,NYSE,-,30.82,1.49,0.00%,775.74M,1.50%,35.65B,28.28,1.62,-,775.74M,4.93%,35.42B,9.81,0.41,2.31%,0.12%,17.79%,1.16B,5.01,8.51%,1.68%,6.25,21.18%,7.11B,2.99,2.09%,7.09%,0.94M,22.05%,15.35,18.47,3.14%,9.59%,35.92,46.33,15.98%,2.49,22.86,-3.26% 1.79%,9.03%,-0.82%,9.43%,1.62 (3.54%),13.07,-1.69% 1.30%,35.57%,27.92%,22.05%,1.46 (3.18%),4.98,-0.79%,20.51%,0.90%,0.87%,46.10%,"Jul 03, 2025",1.46,-0.19%,16.30%,68.17,2.50,2.99% 3.21%,1.62,-0.29%,3.20%,0.23,43.40,86.94%,0.11,-2.91%,7.81%,0.68,46.18,-,0.08,May 08 BMO,16.31%,150.57K,45.95,"Jul 18, 2003",Yes / Yes,6.48% 5.87%,"

","103,025",-0.50%,CHT
"C.H. Robinson Worldwide, Inc",Industrials,Integrated Freight & Logistics,USA,NASD,S&P 500,22.13,4.19,0.98%,118.96M,-2.49%,11.00B,16.93,5.47,-2.75%,117.57M,-7.43%,12.60B,2.59,1.17,96.69%,5.11%,-6.72%,508.09M,0.63,4.24%,1.21%,4.23,-15.88%,17.36B,6.35,16.37%,9.50%,6.01M,-10.35%,14.58,84.64,8.53%,32.11%,84.24,114.82,7.96%,1.09,17.41,-15.11% -1.63%,17.37%,-19.33%,-12.90%,2.52 (2.73%),15.01,-8.45% 2.97%,7.90%,9.96%,18.56%,2.48 (2.68%),0.73,65.52%,4.26%,0.48%,0.83%,45.42%,"Jun 06, 2025",1.29,-0.22%,2.93%,39.58,2.22,5.75% 4.12%,1.29,42.84%,-2.78%,0.91,111.14,63.75%,1.00,-8.29%,-0.92%,1.17,93.41,13781,0.69,Apr 30 AMC,-8.59%,1.42M,92.63,"Oct 15, 1997",Yes / Yes,11.16% -4.87%,"

","1,664,359",-0.84%,CHRW
Chord Energy Corp,Energy,Oil & Gas E&P,USA,NASD,-,6.97,14.93,1.04%,58.20M,1.65%,6.01B,11.34,9.18,-0.51%,57.15M,9.99%,6.82B,-,1.93,92.69%,4.06%,-6.06%,865.23M,1.12,-41.25%,-2.29%,2.67,-10.42%,5.38B,0.70,-6.29%,8.62%,2.32M,-10.98%,148.09,168.14,-6.01%,12.64%,79.83,179.37,-35.38%,0.62,5.56,1.16% -,9.18%,-41.98%,-20.38%,5.35 (5.14%),2.71,49.23% 20.44%,25.26%,30.38%,-,6.40 (6.15%),1.27,-32.13%,22.81%,1.32%,1.99%,-,"May 21, 2025",0.83,31.71%,16.08%,62.33,1.37,45.60% -,0.89,-21.12%,7.44%,0.97,135.88,31.20%,0.10,11.96%,10.05%,2.28,104.59,762,0.09,May 06 AMC,-8.90%,866.91K,104.08,"Nov 20, 2020",Yes / Yes,13.41% 0.13%,"

","1,978,963",-0.49%,CHRD
Check Point Software Technologies Ltd,Technology,Software - Infrastructure,Israel,NASD,-,28.81,7.57,22.68%,108.37M,-2.13%,23.65B,20.12,10.85,0.00%,83.79M,-1.23%,22.18B,2.97,2.37,69.40%,4.50%,-4.77%,852.70M,9.08,8.17%,-2.68%,4.32,14.72%,2.60B,8.60,9.47%,15.41%,3.77M,16.88%,25.36,16.17,9.70%,30.92%,153.88,234.35,38.43%,13.49,21.75,6.76% 6.34%,31.02%,-6.89%,79.67%,-,22.99,5.78% 5.16%,85.75%,41.81%,105.61%,-,8.52,6.49%,33.70%,0.82%,1.38%,160.67%,-,1.10,6.40%,32.75%,42.11,2.26,- -,1.10,7.34%,-3.29%,0.66,239.30,0.00%,0.00,6.51%,-0.84%,1.04,218.42,6669,0.00,Apr 23 BMO,6.64%,872.50K,218.21,"Jun 28, 1996",Yes / Yes,1.09% 0.25%,"

","909,505",-0.10%,CHKP
